Header of third CSV,advertiser_id,advertiser_name,insertion_order_id,insertion_order_name,line_item_id,line_item_name,imps,clicks,revenue,tradelabel
First line of third CSV,845763,Boursorama,3108427,OI_201909_Boursorama_AEGIS_Performance_BtoC_Mobile_Novembre19,9725057,PROSPECTION_ALI_CPA_MOBILE,450250,64,"204,877435",
2019-11-05,845763,Boursorama,3108427,OI_201909_Boursorama_AEGIS_Performance_BtoC_Mobile_Novembre19,6694498,PROSPECTION_PUBLISHER_MOBILE,230550,40,"116,174718",
2019-11-05,845763,Boursorama,3108427,OI_201909_Boursorama_AEGIS_Performance_BtoC_Mobile_Novembre19,8016072,PROSPECTION_MOBILE_MMO,172410,42,"79,121204",
2019-11-05,845763,Boursorama,3108508,OI_201910_Boursorama_AEGIS_Performance_BtoC_Desktop_Novembre19,2791000,PROSPECTION_AUTOMATIONVISITE_DESKTOP,133539,17,"126,471034",
2019-11-05,845763,Boursorama,3113824,OI_201911_Boursorama_AEGIS_Performance_BtoC_Desktop_Bidder_Novembre19,10044300,PROSPECTION_BIDDER_DESKTOP,83853,26,"80,558281",
2019-11-05,845763,Boursorama,3108508,OI_201910_Boursorama_AEGIS_Performance_BtoC_Desktop_Novembre19,3936328,PROSPECTION_APB_DESKTOP,82437,42,"87,334454",
2019-11-05,845763,Boursorama,3108508,OI_201910_Boursorama_AEGIS_Performance_BtoC_Desktop_Novembre19,7662574,PROSPECTION_AUTOMATION-LEAD_DESKTOP,61555,3,"60,85293",
2019-11-05,845763,Boursorama,3108508,OI_201910_Boursorama_AEGIS_Performance_BtoC_Desktop_Novembre19,8023288,PROSPECTION_AUTOMATION-LEADv2_DESKTOP,57821,10,"61,283288",
2019-11-05,845763,Boursorama,3108508,OI_201910_Boursorama_AEGIS_Performance_BtoC_Desktop_Novembre19,9650618,PROSPECTION_APB_DESKTOP_NEW,29638,12,"49,251197",
2019-11-05,845763,Boursorama,3108427,OI_201909_Boursorama_AEGIS_Performance_BtoC_Mobile_Novembre19,9106179,PROFILING_MOBILE,26957,7,"43,264773",
2019-11-05,845763,Boursorama,3108508,OI_201910_Boursorama_AEGIS_Performance_BtoC_Desktop_Novembre19,8724447,PROFILING_ULTIM_DESKTOP,8436,2,"17,516538",
2019-11-05,845763,Boursorama,2842154,OI_201909_Boursorama_AEGIS_Performance_BtoC_Mobile_Octobre19,6694498,PROSPECTION_PUBLISHER_MOBILE,0,0,0,
2019-11-05,845763,Boursorama,2842154,OI_201909_Boursorama_AEGIS_Performance_BtoC_Mobile_Octobre19,8016072,PROSPECTION_MOBILE_MMO,0,0,0,
2019-11-05,845763,Boursorama,2842154,OI_201909_Boursorama_AEGIS_Performance_BtoC_Mobile_Octobre19,9106179,PROFILING_MOBILE,0,0,0,
2019-11-05,845763,Boursorama,2842154,OI_201909_Boursorama_AEGIS_Performance_BtoC_Mobile_Octobre19,9725057,PROSPECTION_ALI_CPA_MOBILE,0,0,0,
2019-11-05,845763,Boursorama,2842154,OI_201909_Boursorama_AEGIS_Performance_BtoC_Mobile_Octobre19,9760094,PROSPECTION_NATIVE,0,0,0,
2019-11-05,845763,Boursorama,2842164,OI_201910_Boursorama_AEGIS_Performance_BtoC_Desktop_Octobre19,2791000,PROSPECTION_AUTOMATIONVISITE_DESKTOP,0,0,0,
2019-11-05,845763,Boursorama,2842164,OI_201910_Boursorama_AEGIS_Performance_BtoC_Desktop_Octobre19,3936328,PROSPECTION_APB_DESKTOP,0,0,0,
2019-11-05,845763,Boursorama,2842164,OI_201910_Boursorama_AEGIS_Performance_BtoC_Desktop_Octobre19,7662574,PROSPECTION_AUTOMATION-LEAD_DESKTOP,0,0,0,
2019-11-05,845763,Boursorama,2842164,OI_201910_Boursorama_AEGIS_Performance_BtoC_Desktop_Octobre19,8023288,PROSPECTION_AUTOMATION-LEADv2_DESKTOP,0,0,0,
2019-11-05,845763,Boursorama,2842164,OI_201910_Boursorama_AEGIS_Performance_BtoC_Desktop_Octobre19,8724447,PROFILING_ULTIM_DESKTOP,0,0,0,
2019-11-05,845763,Boursorama,2842164,OI_201910_Boursorama_AEGIS_Performance_BtoC_Desktop_Octobre19,9650618,PROSPECTION_APB_DESKTOP_NEW,0,0,0,
2019-11-05,845763,Boursorama,2842164,OI_201910_Boursorama_AEGIS_Performance_BtoC_Desktop_Octobre19,9760155,PROSPECTION_NATIVE_DESKTOP,0,0,0,
Last line of third CSV,845763,Boursorama,2842170,OI_201910_Boursorama_AEGIS_Performance_BtoC_Desktop_Bidder_Octobre19,4612927,PROSPECTION_BIDDER_DESKTOP,0,0,0,
